exp,tag,port,seed,success_rate,avg_reward,file
Balanced200,flw_20250821_055747_Balance200,baton_rouge,123,0.5266666666666666,32.60058429187767,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed123.json
Balanced200,flw_20250821_055747_Balance200,baton_rouge,2025,0.53,32.57094079149598,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed2025.json
Balanced200,flw_20250821_055747_Balance200,baton_rouge,42,0.5329166666666667,32.760733371404406,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_baton_rouge_seed42.json
Balanced200,flw_20250821_055747_Balance200,gulfport,123,0.464375,23.040432016755425,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed123.json
Balanced200,flw_20250821_055747_Balance200,gulfport,2025,0.465625,23.174728251778124,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed2025.json
Balanced200,flw_20250821_055747_Balance200,gulfport,42,0.45125,22.577020667044813,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_gulfport_seed42.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,123,0.52475,27.408120212379576,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed123.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,2025,0.52625,27.202999486087005,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed2025.json
Balanced200,flw_20250821_055747_Balance200,new_orleans,42,0.5265,27.330373999776093,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_new_orleans_seed42.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,123,0.5266666666666666,29.778693070438507,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed123.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,2025,0.53,29.748203617960215,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed2025.json
Balanced200,flw_20250821_055747_Balance200,south_louisiana,42,0.5329166666666667,29.97929697913472,reports/FLW_flw_20250821_055747_Balance200/nightly/forced_south_louisiana_seed42.json
